"start"	"estimate"	"p.value"	"sig"
95	0.0377052258066559	0.000657521327708837	"is-sig"
96	0.0368617094387102	0.000867088184480958	"is-sig"
97	0.0312662445904892	0.00473363190816192	"is-sig"
98	0.053015467330381	1.65400997213836e-06	"is-sig"
99	0.0442729233070522	6.31707649469677e-05	"is-sig"
100	0.0287460200350892	0.00940843904714274	"is-sig"
101	0.0282796087593535	0.0106281346099472	"is-sig"
102	0.0206359335444516	0.0623198973077255	"non-sig"
103	0.018797895344147	0.0895162815587323	"non-sig"
104	0.0185695916347322	0.0934781010649748	"non-sig"
105	0.0375129740077294	0.000700655105237434	"is-sig"
106	0.0178472252523175	0.1069467575084	"non-sig"
107	0.0545887806558826	8.05308522679202e-07	"is-sig"
108	0.0584803042607373	1.24747011400277e-07	"is-sig"
109	0.0748574946221816	1.28297616840322e-11	"is-sig"
110	0.0605812366281315	4.33429331115348e-08	"is-sig"
111	0.0180860536270124	0.102333264413839	"non-sig"
112	-0.0165064410110668	0.135975981602879	"non-sig"
113	-0.0424929021361595	0.000123212089008962	"is-sig"
114	-0.0424929021361595	0.000123212089008962	"is-sig"
115	-0.0472813250061772	1.93045827538076e-05	"is-sig"
116	-0.0111026714474378	0.315951697870531	"non-sig"
117	0.0120803008587719	0.275220501944055	"non-sig"
118	0.0763374616444147	5.02775634662116e-12	"is-sig"
119	0.0422748244591961	0.000133493669882976	"is-sig"
120	0.053247296104199	1.48941792487055e-06	"is-sig"
121	0.0248577348744847	0.0247379951111228	"is-sig"
122	0.0128975414727955	0.244043303170382	"non-sig"
123	0.025174068231288	0.022962740301475	"is-sig"
124	0.0330190287744666	0.00285386681015091	"is-sig"
125	0.0767799770353277	3.78635568080145e-12	"is-sig"
126	0.0762160968286046	5.43286803637598e-12	"is-sig"
127	0.0615891280817043	2.57758097024512e-08	"is-sig"
128	0.0499220900151834	6.4303930971808e-06	"is-sig"
129	0.0377802448522422	0.00064136991346189	"is-sig"
130	0.0341475929837331	0.00203502883911455	"is-sig"
131	0.0171312026708297	0.121770538874116	"non-sig"
132	0.002735505247072	0.80485541942244	"non-sig"
133	0.00615963726704273	0.577980625040561	"non-sig"
134	-0.00116627739314496	0.916108481256767	"non-sig"
135	-0.0338813972208344	0.00220592750451217	"is-sig"
136	-0.0485145576929442	1.16326130841162e-05	"is-sig"
137	-0.0450071572047194	4.76106302144512e-05	"is-sig"
138	-0.0366427291189542	0.000930822183055958	"is-sig"
139	-0.04392771646509	7.2048357617518e-05	"is-sig"
140	-0.04392771646509	7.2048357617518e-05	"is-sig"
141	-0.0237027802431885	0.0322652218062234	"is-sig"
142	-0.000284893091160666	0.979471717888571	"non-sig"
143	-0.0653162253209231	3.51376576090604e-09	"is-sig"
144	-0.067170108520245	1.25082784138387e-09	"is-sig"
145	-0.0549986254304772	6.65477095858407e-07	"is-sig"
146	-0.0442023017925757	6.48981135306427e-05	"is-sig"
147	-0.0397611367432163	0.000327392535266623	"is-sig"
148	-0.0397595349585987	0.00032757462168592	"is-sig"
149	0.0171919314810942	0.120454017533933	"non-sig"
150	0.0380214197628192	0.000591911048765499	"is-sig"
151	0.0480209842144305	1.42674077619364e-05	"is-sig"
152	0.0523190828607169	2.26029327739098e-06	"is-sig"
153	0.0347706961584773	0.00168142128667713	"is-sig"
154	0.0176402431977654	0.111076994190538	"non-sig"
155	-0.0047528178134539	0.667725579040649	"non-sig"
156	-0.0536691964358849	1.22941097225222e-06	"is-sig"
157	-0.0105648910881383	0.339964319858175	"non-sig"
158	0.0085273695367083	0.441183360828614	"non-sig"
159	0.0259103238931128	0.0192535891775456	"is-sig"
160	0.050304968386477	5.4579887691363e-06	"is-sig"
161	0.0616135405681744	2.5450803406644e-08	"is-sig"
162	0.04490485521195	4.95365208792298e-05	"is-sig"
163	0.0311037633604962	0.00495512181993267	"is-sig"
164	0.01738616302206	0.116318024816213	"non-sig"
165	0.02504310086975	0.0236838406089048	"is-sig"
166	0.015890943847044	0.151189418317134	"non-sig"
167	0.000770461199711108	0.944522223034581	"non-sig"
168	0.0180236063652154	0.10352400328781	"non-sig"
169	0.0242971033124427	0.0281771484465978	"is-sig"
170	0.031749666193032	0.00412661395328582	"is-sig"
171	0.0158989864107818	0.150982594655001	"non-sig"
172	0.00539326266823914	0.626175431152921	"non-sig"
173	-0.0297415591705126	0.00721361113104398	"is-sig"
174	-0.0297415591705126	0.00721361113104398	"is-sig"
175	-0.035405899830384	0.00137989345406791	"is-sig"
176	-0.0495986554970472	7.37896408646667e-06	"is-sig"
177	-0.0486313392702499	1.10809267206924e-05	"is-sig"
178	-0.0547906610345925	7.33221286378431e-07	"is-sig"
179	-0.0751370141197342	1.07639503160649e-11	"is-sig"
180	-0.0751370141197342	1.07639503160649e-11	"is-sig"
181	-0.09696338992539	1.65941921462788e-18	"is-sig"
182	-0.0732919415105664	3.38973214550827e-11	"is-sig"
183	-0.0998070243041809	1.60986137235076e-19	"is-sig"
184	-0.0998070243041809	1.60986137235076e-19	"is-sig"
185	-0.0912948319972788	1.42167636859711e-16	"is-sig"
186	-0.0912948319972788	1.42167636859711e-16	"is-sig"
187	-0.0843053790072016	2.38517070691309e-14	"is-sig"
188	-0.0843053790072016	2.38517070691309e-14	"is-sig"
189	-0.0940584367163562	1.67841656459326e-17	"is-sig"
190	-0.0940584367163562	1.67841656459326e-17	"is-sig"
191	-0.0685165662685452	5.8055700506857e-10	"is-sig"
192	-0.132538482732798	2.66415225086832e-33	"is-sig"
193	-0.136942383513259	1.86346699685282e-35	"is-sig"
194	-0.136942383513259	1.86346699685282e-35	"is-sig"
195	-0.102676452797589	1.42837048462479e-20	"is-sig"
